title,price,link,in stock,ratings
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,http://books.toscrape.com/catalogue/../../../bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,In stock,Two
The Shadow Hero (The Shadow Hero),£33.14,http://books.toscrape.com/catalogue/../../../the-shadow-hero-the-shadow-hero_860/index.html,In stock,One
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,http://books.toscrape.com/catalogue/../../../fables-vol-1-legends-in-exile-fables-1_806/index.html,In stock,Four
Batman: The Long Halloween (Batman),£36.50,http://books.toscrape.com/catalogue/../../../batman-the-long-halloween-batman_793/index.html,In stock,Two
Batman: The Dark Knight Returns (Batman),£15.38,http://books.toscrape.com/catalogue/../../../batman-the-dark-knight-returns-batman_792/index.html,In stock,Five
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,http://books.toscrape.com/catalogue/../../../wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,In stock,Four
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,http://books.toscrape.com/catalogue/../../../we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,In stock,One
Through the Woods,£25.38,http://books.toscrape.com/catalogue/../../../through-the-woods_772/index.html,In stock,Two
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,http://books.toscrape.com/catalogue/../../../superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,In stock,Five
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,http://books.toscrape.com/catalogue/../../../so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,In stock,Four
Robin War,£47.82,http://books.toscrape.com/catalogue/../../../robin-war_730/index.html,In stock,Three
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,http://books.toscrape.com/catalogue/../../../red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,In stock,Two
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,http://books.toscrape.com/catalogue/../../../naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,In stock,Two
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,http://books.toscrape.com/catalogue/../../../lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,In stock,Two
El Deafo,£57.62,http://books.toscrape.com/catalogue/../../../el-deafo_691/index.html,In stock,Five
Batman: Europa,£32.01,http://books.toscrape.com/catalogue/../../../batman-europa_668/index.html,In stock,Two
Art Ops Vol. 1,£48.80,http://books.toscrape.com/catalogue/../../../art-ops-vol-1_664/index.html,In stock,Three
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,http://books.toscrape.com/catalogue/../../../adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,In stock,Two
"Fruits Basket, Vol. 9 (Fruits Basket #9)",£33.95,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-9-fruits-basket-9_563/index.html,In stock,Four
Roller Girl,£14.10,http://books.toscrape.com/catalogue/../../../roller-girl_540/index.html,In stock,Five
"Fruits Basket, Vol. 7 (Fruits Basket #7)",£19.57,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-7-fruits-basket-7_468/index.html,In stock,One
"Fruits Basket, Vol. 6 (Fruits Basket #6)",£20.96,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-6-fruits-basket-6_427/index.html,In stock,Four
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",£36.39,http://books.toscrape.com/catalogue/../../../death-note-vol-6-give-and-take-death-note-6_425/index.html,In stock,Three
"Fruits Basket, Vol. 5 (Fruits Basket #5)",£16.33,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-5-fruits-basket-5_376/index.html,In stock,One
"Death Note, Vol. 5: Whiteout (Death Note #5)",£52.41,http://books.toscrape.com/catalogue/../../../death-note-vol-5-whiteout-death-note-5_368/index.html,In stock,One
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",£27.88,http://books.toscrape.com/catalogue/../../../the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html,In stock,Two
"Fruits Basket, Vol. 4 (Fruits Basket #4)",£50.44,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-4-fruits-basket-4_321/index.html,In stock,Four
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",£14.41,http://books.toscrape.com/catalogue/../../../the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html,In stock,Three
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",£55.55,http://books.toscrape.com/catalogue/../../../the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html,In stock,Five
"Saga, Volume 3 (Saga (Collected Editions) #3)",£21.57,http://books.toscrape.com/catalogue/../../../saga-volume-3-saga-collected-editions-3_216/index.html,In stock,Five
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),£43.63,http://books.toscrape.com/catalogue/../../../prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,In stock,Three
Persepolis: The Story of a Childhood (Persepolis #1-2),£39.13,http://books.toscrape.com/catalogue/../../../persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,In stock,One
Original Fake,£31.45,http://books.toscrape.com/catalogue/../../../original-fake_203/index.html,In stock,Three
"Grayson, Vol 3: Nemesis (Grayson #3)",£42.72,http://books.toscrape.com/catalogue/../../../grayson-vol-3-nemesis-grayson-3_164/index.html,In stock,One
"Fruits Basket, Vol. 3 (Fruits Basket #3)",£45.17,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-3-fruits-basket-3_159/index.html,In stock,Two
"Black Butler, Vol. 1 (Black Butler #1)",£49.31,http://books.toscrape.com/catalogue/../../../black-butler-vol-1-black-butler-1_130/index.html,In stock,One
Awkward,£38.02,http://books.toscrape.com/catalogue/../../../awkward_124/index.html,In stock,Two
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",£54.81,http://books.toscrape.com/catalogue/../../../the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html,In stock,One
"Saga, Volume 2 (Saga (Collected Editions) #2)",£11.75,http://books.toscrape.com/catalogue/../../../saga-volume-2-saga-collected-editions-2_107/index.html,In stock,Three
"Fruits Basket, Vol. 2 (Fruits Basket #2)",£11.64,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-2-fruits-basket-2_100/index.html,In stock,Five
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51,http://books.toscrape.com/catalogue/../../../y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html,In stock,Four
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52,http://books.toscrape.com/catalogue/../../../the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html,In stock,Two
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12,http://books.toscrape.com/catalogue/../../../the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html,In stock,Three
The Complete Maus (Maus #1-2),£10.64,http://books.toscrape.com/catalogue/../../../the-complete-maus-maus-1-2_62/index.html,In stock,Three
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12,http://books.toscrape.com/catalogue/../../../skip-beat-vol-01-skip-beat-1_55/index.html,In stock,Three
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48,http://books.toscrape.com/catalogue/../../../saga-volume-1-saga-collected-editions-1_48/index.html,In stock,One
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96,http://books.toscrape.com/catalogue/../../../rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,In stock,Five
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71,http://books.toscrape.com/catalogue/../../../paper-girls-vol-1-paper-girls-1-5_44/index.html,In stock,Four
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87,http://books.toscrape.com/catalogue/../../../ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,In stock,Three
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39,http://books.toscrape.com/catalogue/../../../ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,In stock,Four
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24,http://books.toscrape.com/catalogue/../../../hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,In stock,Three
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76,http://books.toscrape.com/catalogue/../../../giant-days-vol-1-giant-days-1-4_22/index.html,In stock,Four
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,http://books.toscrape.com/catalogue/../../../fruits-basket-vol-1-fruits-basket-1_21/index.html,In stock,Five
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,http://books.toscrape.com/catalogue/../../../bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,In stock,Five
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,http://books.toscrape.com/catalogue/../../../ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,In stock,Four
